regiao_codigo,regiao_nome,dormidas,ano,origem
,11D0914: Vila Nova de Foz Côa,10976.0,2024,Portugal
,11D1714: Vila Real,59402.0,2024,Portugal
,11E: Terras de Trás-os-Montes,214128.0,2024,Portugal
,11E0401: Alfândega da Fé,12378.0,2024,Portugal
,11E0402: Bragança,89572.0,2024,Portugal
,11E0405: Macedo de Cavaleiros,16478.0,2024,Portugal
,11E0406: Miranda do Douro,24061.0,2024,Portugal
,11E0407: Mirandela,42859.0,2024,Portugal
,11E0408: Mogadouro,9621.0,2024,Portugal
,11E0410: Vila Flor,6451.0,2024,Portugal
,11E0411: Vimioso,2828.0,2024,Portugal
,11E0412: Vinhais,9880.0,2024,Portugal
16,Centro,4911255.0,2024,Portugal
,16B: Oeste,806755.0,2024,Portugal
,16B1001: Alcobaça,84537.0,2024,Portugal
,16B1101: Alenquer,23602.0,2024,Portugal
,16B1102: Arruda dos Vinhos,7014.0,2024,Portugal
,16B1005: Bombarral,8177.0,2024,Portugal
,16B1104: Cadaval,6781.0,2024,Portugal
,16B1006: Caldas da Rainha,128405.0,2024,Portugal
,16B1108: Lourinhã,28849.0,2024,Portugal
,16B1011: Nazaré,107692.0,2024,Portugal
,16B1012: Óbidos,118972.0,2024,Portugal
,16B1014: Peniche,121017.0,2024,Portugal
,16B1112: Sobral de Monte Agraço,1614.0,2024,Portugal
,16B1113: Torres Vedras,170095.0,2024,Portugal
,16D: Região de Aveiro,478339.0,2024,Portugal
,16D0101: Águeda,35661.0,2024,Portugal
,16D0102: Albergaria-a-Velha,20491.0,2024,Portugal
,16D0103: Anadia,55790.0,2024,Portugal
,16D0105: Aveiro,193403.0,2024,Portugal
,16D0108: Estarreja,12268.0,2024,Portugal
,16D0110: Ílhavo,66885.0,2024,Portugal
,16D0112: Murtosa,10770.0,2024,Portugal
,16D0114: Oliveira do Bairro,7634.0,2024,Portugal
,16D0115: Ovar,55038.0,2024,Portugal
,16D0117: Sever do Vouga,11009.0,2024,Portugal
,16D0118: Vagos,9390.0,2024,Portugal
,16E: Região de Coimbra,965744.0,2024,Portugal
,16E0601: Arganil,23100.0,2024,Portugal
,16E0602: Cantanhede,19682.0,2024,Portugal
,16E0603: Coimbra,292319.0,2024,Portugal
,16E0604: Condeixa-a-Nova,12103.0,2024,Portugal
,16E0605: Figueira da Foz,221978.0,2024,Portugal
